departamento,ciudad,valor_inicial,valor_final,dias_adicionados,destino_gasto,estado_contrato,objeto,url,contratista,fecha_inicio,fecha_fin
Distrito Capital de Bogotá,Bogotá,17772748303,0,215,Inversión,Modificado,MEJORAMIENTO; MANTENIMIENTO DE LA VÍA EL CRUCERO - BAJO CALIMA EN EL DEPARTAMENTO DE VALLE DEL CAUCA  EN EL MARCO DEL PROGRAMA COLOMBIA AVANZA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6545264&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO CALIMA VIAL 24,2024-12-04,2026-12-31
No Definido,No Definido,17763248175,0,212,Inversión,Modificado,ACTUALIZACION DE ESTUDIOS DISENOS Y CONSTRUCCION DEL CENTRO ADMINISTRATIVO MUNICIPAL (CAM) DEL MUNICIPIO DE MOCOA  PUTUMAYO A TRAVES DEL SISTEMA DE PAGO LLAVE EN MANO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7019247&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO CAM MOCOA,2025-03-05,2026-07-31
Santander,No Definido,17745369437,5498731286,0,Inversión,Suspendido,CONSTRUCCION DE LA PROTECCION DE LA MARGEN DERECHA DEL RIO MAGDALENA TRAMO I EN EL MUNICIPIO DE BARRANCABERMEJA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3692507&isFromPublicArea=True&isModal=true&asPopupView=true,RAHS INGENIERÍA S.A.S.,2023-11-14,2025-08-12
Cesar,Valledupar,17721255220,0,0,Inversión,Modificado,MEJORAMIENTO Y/O CONSTRUCCIÓN DE LA CARRERA 38 EN EL TRAMO DEL SECTOR NORTE; INCLUYE VIAS ANEXAS Y OBRAS COMPLEMENTARIAS; EN LA CIUDAD DE VALLEDUPAR; CESAR,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7964346&isFromPublicArea=True&isModal=true&asPopupView=true,Consorcio Plan Vial 38,2025-12-10,2026-12-10
Distrito Capital de Bogotá,Bogotá,17705542721,17113528803,0,Inversión,Modificado,MEJORAMIENTO Y REHABILITACIÓN DE LA VÍA DESDE EL CASCO URBANO DEL MUNICIPIO DE PULI HASTA LA INSPECCIÓN DE SAN NICOLÁS DEL MUNICIPIO DE SAN JUAN DE RIOSECO; DEPARTAMENTO DE CUNDINAMARCA.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3191783&isFromPublicArea=True&isModal=true&asPopupView=true,UT RICA 006,2022-12-01,2024-04-25
Distrito Capital de Bogotá,No Definido,17683650525,0,0,Inversión,En ejecución,"ESTUDIOS; DISEÑO Y CONSTRUCCIÓN DE LA PLAZA DE MERCADO DE RIOHACHA; LA 
GUAJIRA",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9070484&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO MERCADO GUAJIRO,2026-03-19,2027-06-19
Distrito Capital de Bogotá,Bogotá,17652672416,4732118236,151,Inversión,Modificado,MANTENIMIENTO - MITIGACIÓN Y SERVICIO DE OPERACIÓN TÚNEL DAZA UBICADO VARIANTE ORIENTAL PASTO Y MANTENIMIENTO DE LA VARIANTE ORIENTAL DE PASTO RUTAS 2501 Y 2502 DEPARTAMENTO DE NARIÑO.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4870399&isFromPublicArea=True&isModal=true&asPopupView=true,CONSORCIO MANTENIMIENTO DAZA 23,2023-12-01,2026-05-31
Antioquia,Medellín,17607888853,0,149,Inversión,Modificado,CONSTRUCCIÓN DEL BLOQUE EDUCATIVO DE LA INSTITUCIÓN EDUCATIVA FEDERICO OZANAM UBICADO EN EL DISTRITO DE CIENCIA; TECNOLOGÍA E INNOVACIÓN DE MEDELLÍN.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6831002&isFromPublicArea=True&isModal=true&asPopupView=true,PAECIA S.A.S,2024-12-09,2026-10-15
Distrito Capital de Bogotá,Bogotá,17599990223,0,122,Inversión,Modificado,EJECUTAR A PRECIOS UNITARIOS LAS OBRAS Y ACTIVIDADES NECESARIAS PARA LA CONSERVACIÓN DE LA MALLA VIAL RURAL; EN LA CIUDAD DE BOGOTÁ D.C. GRUPO 2.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2246351&isFromPublicArea=True&isModal=true&asPopupView=true,INFERCAL SA.,2021-12-20,2024-04-19
Antioquia,Medellín,17528550986,0,0,Inversión,En ejecución,CONSTRUCCCIÓN DE RECREO DEPORTIVO BRISAS DE ROBLEDO Y ESPACIO PÚBLICO ASOCIADO EN EL DISTRITO ESPECIAL DE CIENCIA; TECNOLOGÍA E INNOVACIÓN DE MEDELLÍN,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9136557&isFromPublicArea=True&isModal=true&asPopupView=true,U.T ROBLEDO 2026,2026-04-20,2027-04-14
