id_contrato,sobrecosto,prop_tipo_Riesgos Legales y Regulatorios,prop_asig_EDU y Contratista,valor_inicial,tfidf_demoras,tfidf_ejecución,imp_promedio,tfidf_departamento,tfidf_construccion,tfidf_municipio,prop_tipo_Regulatorio,tfidf_desarrollo,tfidf_ley,suma_impacto,val_std,tfidf_ejecución contrato,tfidf_obras,tfidf_servicios,tfidf_contrato,prop_tipo_Cumplimiento,prop_tipo_Operacional,tfidf_cambio,tfidf_incumplimiento,tfidf_riesgo,tfidf_actividades,tfidf_contratista,tfidf_precios,imp_std,tfidf_calidad,val_promedio,tfidf_obra,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,pct_riesgos_con_mitigacion,avg_longitud_mitigacion,n_distinct_codes_mitigacion
C-031,29.38667704891836,0.0,0.0,16670736929.0,0.0,0.0,0.0,0.0,0.13558530415778394,0.09321478515811947,0.0,0.0,0.0,0.0,2.4376849042293576,0.0,0.23608797580215066,0.0,0.0,0.0,0.0,0.0,0.26894049978754214,0.0,0.0,0.0,0.0,0.0,0.1393224981856834,6.5,0.1013154187670517,2018,2019,1,7.1,3118.82,1.0,13.26923076923077,24
C-051,29.38667704891836,0.0,0.0,16670736929.0,0.0806494727672427,0.3498056151742935,2.1,0.0,0.05989049685837444,0.12352400208144317,0.14285714285714285,0.07088636493402113,0.0,42.0,1.60073679180682,0.3308728904011927,0.05214217816934013,0.06154128348733374,0.5070201691497541,0.0,0.23809523809523808,0.0,0.0,0.12027882339340458,0.060769619036069936,0.38387236417407383,0.10964494073870276,0.9433981132056604,0.0,4.238095238095238,0.04475286467854745,2018,2019,1,7.1,3118.82,0.047619047619047616,11.0,1
C-032,28.56229836329816,0.0,0.0,16147899764.0,0.0,0.0,0.0,0.17258063249250213,0.0,0.0,0.0,0.0,0.0,0.0,2.467015970854975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577555118475881,0.0,0.0,0.0,0.23790033533767163,0.0,0.13352820367369217,6.761904761904762,0.1942036074372152,2018,2019,1,7.1,3118.82,1.0,20.19047619047619,20
C-033,19.7010158843782,0.0,0.0,16012813022.0,0.0,0.0,0.0,0.0,0.0,0.12585508243191382,0.0,0.0,0.0,0.0,1.9460170216420798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5446699584077664,0.0,0.0,0.0,0.16757115405571207,0.0,0.0,7.461538461538462,0.0,2019,2020,1,5.47,3487.23,1.0,10.0,11
C-034,14.86101216578656,0.0,0.0,15589252126.0,0.0,0.0,0.0,0.0,0.22771581214512393,0.23483165050298496,0.0,0.0,0.0,0.0,1.752912528325812,0.0,0.09912756674005421,0.0,0.0,0.0,0.0,0.12947831964041093,0.2258430760924018,0.11433111841457037,0.0,0.1621733956198966,0.10422307393341672,0.0,0.0,7.962962962962963,0.17015946536885798,2021,2022,1,19.48,3999.26,1.0,15.62962962962963,15
C-035,49.42203854607977,0.0,0.0,15559153710.0,0.1163562715203241,0.12616969380575419,3.5238095238095237,0.11475559340865148,0.0,0.0,0.14285714285714285,0.0,0.0,74.0,1.3058389715049608,0.15912125462305882,0.3009105568857288,0.0,0.2250764924904138,0.0,0.6666666666666666,0.0,0.34278338524116536,0.0,0.0,0.4922917851499561,0.0,1.1799534946060826,0.0,6.761904761904762,0.06456677638647158,2019,2021,2,11.4,3572.51,1.0,112.0,0
C-036,15.493509088212976,0.0,0.0,15554525668.0,0.11474066046912122,0.18662673454516393,3.4074074074074074,0.0,0.08520669670322822,0.058579533944044235,0.14814814814814814,0.0,0.0,92.0,1.367865578712547,0.07845592511502866,0.22254930216526048,0.08755528425874809,0.11097564861345838,0.0,0.5925925925925926,0.0,0.4225297818771043,0.0,0.0,0.485456295853913,0.0,1.0974468437058558,0.08755528425874809,6.407407407407407,0.1273405287080167,2018,2019,1,7.1,3118.82,1.0,62.81481481481482,0
C-037,31.710265485696304,0.0,0.0,15358105867.0,0.12603163146618335,0.13666106815007814,3.5238095238095237,0.12429785234770177,0.0,0.06434401025156575,0.14285714285714285,0.0,0.0,74.0,1.3058389715049608,0.17235264639420111,0.24444910390851965,0.0,0.24379225273042682,0.0,0.6666666666666666,0.0,0.3712868134821528,0.0,0.0,0.46657385996924955,0.0,1.1799534946060826,0.0961710981399232,6.761904761904762,0.13987138054828227,2018,2020,2,8.83,3310.33,1.0,112.28571428571429,0
C-038,15.175840370568755,0.0,0.0,14628514440.0,0.0,0.0,2.6,0.0,0.0,0.0,0.1,0.0,0.0,26.0,1.2041594578792296,0.0,0.0746109540639648,0.08806026208569111,0.0,0.0,0.2,0.09745524153037198,0.0,0.08605430461619909,0.0,0.06103202251863667,0.07844622073739717,0.9165151389911681,0.0,4.5,0.06403748458527798,2018,2020,2,8.83,3310.33,1.0,240.0,0
C-039,10.690461258195988,0.0,0.0,14334422884.0,0.0,0.0,3.6315789473684212,0.0,0.0,0.0,0.0,0.0,0.11778600701090038,69.0,1.3845206776806218,0.0,0.07636481186945866,0.0,0.05711971086409977,0.0,0.0,0.09974609329856943,0.0,0.08807715790551739,0.0,0.37480010618702864,0.0,0.9296590385608259,0.0,5.368421052631579,0.06554279494611046,2019,2020,1,5.47,3487.23,1.0,200.3684210526316,0
