id_contrato,valor_inicial,n_riesgos,prob_promedio,prob_std,imp_promedio,imp_std,val_promedio,val_std,interaccion_prob_x_impacto,anio_inicio,anio_fin,duracion,ipc_acumulado,trm_promedio,sobrecosto,tfidf_desarrollo,tfidf_insumos,tfidf_expedicion,tfidf_materiales,tfidf_obra,tfidf_ejecucion,tfidf_contrato,prop_tipo_operacional,prop_cate_bajo,tfidf_riesgo,tfidf_tecnicas,tfidf_municipio,tfidf_obras,tfidf_informacion,prop_fuen_externo,tfidf_cuando,tfidf_disenos,tfidf_ejecucion contrato,tfidf_calidad,tfidf_manejo,prop_cate_alto,tfidf_pago,prop_tipo_economico,prop_asig_entidad,tfidf_falta,svr_pred,abs_error,rmse_heuristic,bucket
C-032,16147899764,21,2.4285714285714284,0.6761234037828132,2.857142857142857,0.47809144373375745,6.761904761904762,2.527939119218695,6.938775510204081,2018,2019,1,7.1,3118.82,28.56229836329816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.37,9.19229836329816,20.0,21-30
C-033,16012813022,13,2.6153846153846154,0.5063696835418332,3.0,0.0,7.461538461538462,2.0254787341673333,7.846153846153847,2019,2020,1,5.47,3487.23,19.7010158843782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.71,0.008984115621800015,16.0,11-20
C-034,15589252126,27,2.740740740740741,0.4465760847047226,3.0,0.0,7.962962962962963,1.7863043388188904,8.222222222222223,2021,2022,1,19.48,3999.26,14.86101216578656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,7.338987834213439,20.0,21-30
C-035,15559153710,21,3.2857142857142856,0.7171371656006361,3.5238095238095237,1.2090925365350504,6.761904761904762,1.338086764928265,11.578231292517007,2019,2021,2,11.4,3572.51,49.42203854607977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55,23.872038546079768,20.0,21-30
C-036,15554525668,27,3.037037037037037,0.8077262236808043,3.4074074074074074,1.1183524715903528,6.407407407407407,1.3939225025158115,10.348422496570645,2018,2019,1,7.1,3118.82,15.493509088212976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.84,7.346490911787024,20.0,21-30
C-037,15358105867,21,3.2857142857142856,0.7171371656006361,3.5238095238095237,1.2090925365350504,6.761904761904762,1.338086764928265,11.578231292517007,2018,2020,2,8.83,3310.33,31.710265485696304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09,6.620265485696304,20.0,21-30
C-038,14628514440,10,1.9,0.7378647873726221,2.6,0.9660917830792958,4.5,1.2692955176439846,4.9399999999999995,2018,2020,2,8.83,3310.33,15.175840370568755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.21,4.034159629431246,12.0,1-10
C-039,14334422884,19,1.736842105263158,0.8719139396343282,3.6315789473684212,0.9551338658818386,5.368421052631579,1.4224597754824204,6.307479224376732,2019,2020,1,5.47,3487.23,10.690461258195988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28,6.589538741804013,16.0,11-20
C-040,14173627737,25,2.56,0.5066228051190221,3.24,0.9255628917943215,6.0,0.8164965809277257,8.294400000000001,2018,2020,2,8.83,3310.33,11.288570785750418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,10.111429214249581,20.0,21-30
C-041,14099924774,13,2.0,0.9128709291752769,3.769230769230769,1.0919284281983377,5.769230769230769,1.4806443503784736,7.538461538461538,2018,2023,5,42.09,3709.1,52.62635326028726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.88,24.74635326028726,16.0,11-20
C-042,13647641007,22,2.590909090909091,0.7341396590302414,2.8636363636363638,1.0821255338433111,5.454545454545454,1.2238608980744083,7.419421487603306,2021,2022,1,19.48,3999.26,38.42814033069913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,16.52814033069913,20.0,21-30
C-043,13586470318,22,2.8636363636363638,0.6396021490668313,2.4545454545454546,0.7385489458759964,5.409090909090909,1.181568405173351,7.028925619834711,2021,2022,1,19.48,3999.26,2.2014503546497943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88,20.678549645350206,20.0,21-30
C-044,13509464949,10,1.9,0.8755950357709131,3.6,1.1737877907772674,5.5,1.4337208778404378,6.84,2022,2023,1,23.62,4290.24,22.5977428826741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11,1.4877428826741017,12.0,1-10
