fila,url,entidad,municipio,departamento,tipo,pass,body_len,timestamp
786,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-3968,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),Bogotá D.C.,Bogotá D.C.,SIN_DOCUMENTO,1,4898,2026-07-19T18:10:56.027535
787,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7401,BOYACÁ - ALCALDÍA MUNICIPIO DE MIRAFLORES,Miraflores,Boyacá,ESTUDIOS_PREVIOS,1,7616,2026-07-19T18:11:07.785359
789,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-7815,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE BOLÍVAR,Bolívar,Valle del Cauca,SIN_DOCUMENTO,1,7637,2026-07-19T18:11:13.443834
790,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21055,SANTANDER - ALCALDÍA MUNICIPIO DE GUAPOTA,Guapotá,Santander,MATRIZ_RIESGO,1,12606,2026-07-19T18:11:16.739239
791,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-1-223445,CAUCA - RESGUARDO INDÍGENA TOTORÓ,Totoró,Cauca,MATRIZ_RIESGO,1,12942,2026-07-19T18:11:19.913700
792,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37759,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PUERTO SALGAR,Puerto Salgar,Cundinamarca,MATRIZ_RIESGO,1,10788,2026-07-19T18:11:30.557200
809,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7997541,QUINDÍO - UNIVERSIDAD DEL QUINDÍO,Armenia,Quindío,ESTUDIOS_PREVIOS,1,4708,2026-07-19T18:12:13.080929
810,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15154,GUAVIARE - GOBERNACIÓN,San José del Guaviare,Guaviare,ESTUDIOS_PREVIOS,1,14087,2026-07-19T18:12:16.463519
811,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-218051,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE AGUA DE DIOS,Agua de Dios,Cundinamarca,MATRIZ,1,14677,2026-07-19T18:12:19.892638
812,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9897421,CALDAS - EMPRESA DE OBRAS SANITARIAS DE CALDAS,Manizales,Caldas,SIN_DOCUMENTO,1,5380,2026-07-19T18:12:23.693787
813,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12593023,ANTIOQUIA - EMPRESA DE SERVICIOS PÚBLICOS DE SAN JOSÉ DE LA MARINILLA E.S.P.,Marinilla,Antioquia,ESTUDIOS_PREVIOS,1,4878,2026-07-19T18:12:27.975145
814,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-216925,BOYACÁ - ALCALDÍA MUNICIPIO DE MONGUI,Monguí,Boyacá,ESTUDIOS_PREVIOS,1,9867,2026-07-19T18:12:31.695562
815,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3062,ANTIOQUIA - ALCALDÍA MUNICIPIO DE COPACABANA,Copacabana,Antioquia,ESTUDIOS_PREVIOS,1,7445,2026-07-19T18:12:35.248093
821,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5930,CORPOGUAJIRA - CORPORACIÓN AUTONOMA REGIONAL DE LA GUAJIRA,Riohacha,La Guajira,ESTUDIOS_PREVIOS,1,9158,2026-07-19T18:12:48.777177
836,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-38857,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE CHITAGÁ,Chitagá,Norte De Santander,ESTUDIOS_PREVIOS,1,9280,2026-07-19T18:13:28.581927
837,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15731,BOYACÁ - ALCALDÍA MUNICIPIO DE PAIPA,Paipa,Boyacá,ESTUDIOS_PREVIOS,1,10873,2026-07-19T18:13:32.134199
838,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15059,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SONSÓN,Sonsón,Antioquia,MATRIZ,1,8418,2026-07-19T18:13:36.084071
