fila,url,entidad,municipio,departamento,tipo
1184,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-39414,CAQUETÁ - ALCALDÍA MUNICIPIO DE SAN JOSÉ DE FRAGUA,San José del Fragua,Caquetá,MATRIZ_RIESGO
1185,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-12003,BOYACÁ - ALCALDÍA MUNICIPIO DE MACANAL,Macanal,Boyacá,MATRIZ_RIESGO
1202,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22953,NARIÑO - ALCALDÍA MUNICIPIO DE CONTADERO,Contadero,Nariño,MATRIZ_RIESGO
1203,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-37353,BOYACÁ - ALCALDÍA MUNICIPIO DE SÁCHICA,Sáchica,Boyacá,MATRIZ_RIESGO
1224,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-21899,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CACHIPAY,Cachipay,Cundinamarca,MATRIZ_RIESGO
1226,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24459,BOYACÁ - ALCALDÍA MUNICIPIO DE ALMEIDA,Almeida,Boyacá,MATRIZ_RIESGO
1228,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24481,ANTIOQUIA - ALCALDÍA MUNICIPIO DE TÁMESIS,Támesis,Antioquia,MATRIZ_RIESGO
1244,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8140425,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,Cali,Valle del Cauca,MATRIZ_RIESGO
1247,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11634257,ANTIOQUIA - EMPRESA DE VIVIENDA Y DESARROLLO URBANO Y RURAL DEL MUNICIPIO DE ENVIGADO DESUR - ENVIGADO,Envigado,Antioquia,MATRIZ_RIESGO
1260,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20885,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE ANAPOIMA,Anapoima,Cundinamarca,MATRIZ_RIESGO
1263,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22391,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PUERTO SALGAR,Puerto Salgar,Cundinamarca,MATRIZ_RIESGO
1264,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-26412,CALDAS - ALCALDÍA MUNICIPIO DE SUPIA,Supía,Caldas,MATRIZ_RIESGO
1266,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-9785,SANTANDER - ALCALDÍA MUNICIPIO DE SAN ANDRÉS,San Andrés,Santander,MATRIZ_RIESGO
1283,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-212290,SANTANDER - ALCALDÍA MUNICIPIO DE OCAMONTE,Ocamonte,Santander,MATRIZ_RIESGO
