fila,url,entidad,municipio,departamento,tipo
974,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200260,HUILA - ALCALDÍA MUNICIPIO DE OPORAPA,Oporapa,Huila,ESTUDIOS_PREVIOS
981,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-12-13458701,SANTANDER - ALCALDÍA MUNICIPIO DE EL CARMEN DE CHUCURÍ,El Carmen de Chucurí,Santander,ESTUDIOS_PREVIOS
982,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-4-7950812,ANTIOQUIA - E.S.E. HOSPITAL SAN JUAN DE DIOS - MARINILLA,Marinilla,Antioquia,ESTUDIOS_PREVIOS
994,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-195138,ANTIOQUIA - ALCALDÍA MUNICIPIO DE YARUMAL,Yarumal,Antioquia,ESTUDIOS_PREVIOS
995,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5237,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,Cali,Valle del Cauca,ESTUDIOS_PREVIOS
999,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3485,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS
1001,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-1-209411,BOYACÁ - ALCALDÍA MUNICIPIO DE SOCOTÁ,Socotá,Boyacá,ESTUDIOS_PREVIOS
1018,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-11-12926389,BOYACÁ - ALCALDÍA MUNICIPIO DE SIACHOQUE,Siachoque,Boyacá,ESTUDIOS_PREVIOS
1019,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4503,RAMA JUDICIAL,Bogotá D.C.,Bogotá D.C.,ESTUDIOS_PREVIOS
1033,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5781,SANTANDER - ALCALDÍA MUNICIPIO DE LOS SANTOS,Los Santos,Santander,ESTUDIOS_PREVIOS
1051,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20074,CESAR - ALCALDÍA MUNICIPIO DE LA JAGUA DE IBIRICO,La Jagua de Ibirico,Cesar,ESTUDIOS_PREVIOS
1052,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31524,VICHADA - ALCALDÍA MUNICIPIO DE CUMARIBO,Cumaribo,Vichada,ESTUDIOS_PREVIOS
1053,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4707,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS
1056,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20784,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE BOJACÁ,Bojacá,Cundinamarca,ESTUDIOS_PREVIOS
1066,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30822,BOYACÁ - ALCALDÍA MUNICIPIO DE SOTAQUIRÁ,Sotaquirá,Boyacá,ESTUDIOS_PREVIOS
1068,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20520,SANTANDER - BANCO INMOBILIARIO DE FLORIDABLANCA,Floridablanca,Santander,ESTUDIOS_PREVIOS
1086,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-188724,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CHÍA,Chía,Cundinamarca,ESTUDIOS_PREVIOS
